0,255,639,-100,0,41,306,224.6116659641,0,-214,-333,0
0,21,2447,100,81,24,709,203.0562899113,81,3,-1738,0
0,20,2347,100,101,31,721,159.4759199619,101,11,-1626,-1
0,26,458,-100,0,24,334,215.7433643341,0,-2,-124,0
0,243,2702,-100,203,182,251,199.6963617802,203,-61,-2451,-1
202,15,438,100,0,18,494,182.8696610928,-202,3,56,0
149,37,2670,100,111,61,408,161.1027700901,-38,24,-2262,-1
0,226,429,-100,108,24,339,192.0412547588,108,-202,-90,-1
0,283,214,-100,85,35,588,169.7755901814,85,-248,374,-1
186,31,2544,100,111,49,429,164.5426943302,-75,18,-2115,-1
0,19,620,100,0,15,687,184.8378493786,0,-4,67,0
0,36,2702,100,127,54,705,157.7990353107,127,18,-1997,-1
0,17,478,100,0,15,690,183.6963963509,0,-2,212,0
199,20,2634,100,110,31,427,163.3458886147,-89,11,-2207,-1
0,255,616,-100,0,27,333,219.7887654305,0,-228,-283,0
0,41,2297,100,68,46,699,194.775236845,68,5,-1598,0
152,255,2417,-100,0,159,2247,189.6280882359,-152,-96,-170,-1
0,250,2702,-100,108,223,799,164.8729424477,108,-27,-1903,-1
165,27,2612,100,88,24,285,190.5416193008,-77,-3,-2327,0
198,12,446,100,0,14,497,189.8464384079,-198,2,51,0
0,255,251,-100,4,44,693,194.660905838,4,-211,442,0
151,14,2488,100,101,190,691,171.8938400745,-50,176,-1797,-1
0,191,2516,-100,116,143,464,193.0613234043,116,-48,-2052,-1
0,275,255,-100,29,31,655,186.5558464527,29,-244,400,-1
0,228,2692,-100,0,167,719,197.8527987003,0,-61,-1973,0
195,15,442,100,0,12,494,195.9488732815,-195,-3,52,0
139,13,2599,100,84,17,286,193.4855413437,-55,4,-2313,0
0,255,2691,-100,0,155,420,226.767355442,0,-100,-2271,0
154,15,2539,100,101,184,831,157.2955803871,-53,169,-1708,-1
159,255,2690,-100,0,201,2150,194.5044307709,-159,-54,-540,0
0,45,2691,-100,0,176,706,211.676633358,0,131,-1985,0
0,48,2700,-100,0,154,254,217.6744439602,0,106,-2446,0
156,15,2704,100,117,38,408,162.9997971058,-39,23,-2296,-1
172,251,2700,-100,86,213,2321,165.8117513657,-86,-38,-379,-1
0,255,2687,-100,17,200,392,185.8532612324,17,-55,-2295,-1
0,15,623,100,0,31,304,174.872474432,0,16,-319,-1
199,21,2622,100,103,26,427,165.4471867085,-96,5,-2195,-1
134,22,639,100,0,18,727,189.5869562626,-134,-4,88,0
0,253,478,-100,0,26,723,218.7960495949,0,-227,245,0
0,37,2691,-100,0,166,702,203.2715277672,0,129,-1989,0
0,27,2651,100,85,21,706,192.7022111416,85,-6,-1945,0
124,23,639,100,0,30,728,158.0433943272,-124,7,89,-1
0,86,2687,-100,120,246,741,162.671980381,120,160,-1946,-2
0,252,2691,-100,287,172,255,203.1894423962,287,-80,-2436,0
0,15,2518,100,95,37,712,176.2494504452,95,22,-1806,-1
0,280,2668,-100,42,184,391,174.089836359,42,-96,-2277,-1
0,216,2701,-100,112,214,792,166.9275405407,112,-2,-1909,-1
156,12,2660,100,75,19,338,203.5415942669,-81,7,-2322,1
178,43,460,100,0,182,425,158.2011139393,-178,139,-35,-1
0,255,2679,-100,0,147,358,196.4605820179,0,-108,-2321,-1
0,28,459,-100,0,23,335,211.8453044891,0,-5,-124,0
168,30,475,100,0,62,496,181.3709967136,-168,32,21,0
166,17,625,100,0,53,462,178.8816685677,-166,36,-163,0
0,247,391,-100,102,25,683,186.1551673412,102,-222,292,-1
0,273,626,-100,0,43,281,226.8906848431,0,-230,-345,0
149,11,2583,100,81,30,389,202.5713112354,-68,19,-2194,0
0,29,2702,-100,0,140,319,219.7267899513,0,111,-2383,0
0,21,2600,-100,9,147,554,189.0530180931,9,126,-2046,-1
0,249,406,-100,0,21,723,209.6448972225,0,-228,317,0
0,39,2700,-100,0,159,703,212.5219686031,0,120,-1997,0
0,15,2702,100,96,11,689,186.5679116249,96,-4,-2013,0
178,14,2694,100,119,95,1001,166.1064434052,-59,81,-1693,-1
211,22,456,100,0,122,408,153.0343286991,-211,100,-48,-1
0,236,2690,-100,0,90,736,220.7266438007,0,-146,-1954,0
0,231,2697,-100,77,177,704,203.8013525009,77,-54,-1993,-1
158,11,605,100,0,113,440,167.5321269035,-158,102,-165,-1
0,293,2668,-100,90,241,389,173.2639052868,90,-52,-2279,-1
143,20,2702,100,94,17,372,186.773260355,-49,-3,-2330,0
167,17,622,100,0,109,425,167.9405946732,-167,92,-197,-1
0,228,2693,-100,21,159,705,205.5936439037,21,-69,-1988,0
0,81,2692,-100,0,231,303,196.9344141483,0,150,-2389,-1
0,255,2699,-100,207,206,303,199.3738179207,207,-49,-2396,-1
181,22,651,100,0,114,425,157.2720406055,-181,92,-226,-1
0,26,2424,100,73,31,706,200.0445311069,73,5,-1718,0
0,22,2707,100,142,76,407,163.9259488583,142,54,-2300,-1
159,302,2691,-100,0,197,2317,216.4958376884,-159,-105,-374,0
0,17,2689,100,92,12,711,193.8114743233,92,-5,-1978,0
0,26,2645,-100,77,163,381,192.0891673565,77,137,-2264,-1
0,53,2700,-100,58,190,423,190.8222193718,58,137,-2277,-1
172,234,2417,-100,0,156,1250,207.3294150829,-172,-78,-1167,0
0,255,2660,-100,0,184,388,194.5744512081,0,-71,-2272,0
0,214,2503,-100,14,145,463,196.2773840427,14,-69,-2040,-1
158,22,2493,100,63,18,587,202.1065542698,-95,-4,-1906,1
169,21,623,100,0,169,498,167.2587423325,-169,148,-125,-1
0,23,460,100,0,23,718,190.2998747826,0,0,258,0
0,39,2680,100,99,30,553,199.4656894207,99,-9,-2127,0
0,276,2691,-100,0,141,391,229.7431299686,0,-135,-2300,0
0,255,621,-100,0,31,255,229.4223399162,0,-224,-366,0
0,17,459,100,0,23,530,189.8026430607,0,6,71,0
156,15,2541,100,79,13,480,193.5169694424,-77,-2,-2061,0
0,282,212,-100,93,58,605,161.9883589745,93,-224,393,-1
0,119,2687,-100,123,254,760,165.9783039093,123,135,-1927,-2
159,15,2493,100,84,15,505,196.3492310047,-75,0,-1988,0
170,27,622,100,0,147,452,167.6532688141,-170,120,-170,-1
180,180,25,100,0,31,540,195.0887122154,-180,-149,515,0
0,27,458,-100,0,24,232,216.7946653366,0,-3,-226,1
0,236,356,-100,2,63,356,226.4907701015,2,-173,0,1
0,24,2699,100,141,184,421,165.3956904411,141,160,-2278,-1
0,31,2692,100,121,61,722,161.1522526741,121,30,-1970,-1
127,15,615,100,0,31,728,164.5084936619,-127,16,113,-1
